视频编号,播放量,弹幕数,评论数,收藏数,硬币数,分享数,视频名称
15906630, 238, 1, 4, 3, 2, 2, ''
15906639, 500, 6, 13, 27, 5, 2, ''
15906633, 124109, 1081, 355, 2547, 1689, 1175, ''
15906631, 2227, 11, 3, 22, 11, 9, ''
15906637, 97, 0, 3, 2, 4, 8, ''
15906635, 12181, 154, 111, 2163, 310, 121, ''
15906645, 1255, 8, 7, 15, 21, 1, ''
15906643, 2627, 73, 14, 171, 32, 25, ''
15906644, 370, 2, 2, 2, 9, 2, ''
15906649, 16786, 156, 34, 96, 15, 15, ''
15906646, 113, 4, 10, 3, 2, 9, ''
15906642, 573, 5, 1, 6, 2, 2, ''
15906654, 386, 0, 1, 0, 1, 2, ''
15906653, 217, 4, 1, 2, 0, 0, ''
15906651, 156, 2, 1, 0, 3, 2, ''
15906655, 13, 0, 0, 0, 0, 3, ''
15906656, 128, 1, 3, 2, 5, 14, ''
15906657, 3382, 468, 113, 330, 196, 59, ''
15906658, 230, 1, 17, 4, 6, 1, ''
15906662, 26832, 41, 137, 14, 59, 18, ''
15906661, 47762, 231, 255, 716, 2950, 95, ''
15906665, 3184, 120, 48, 94, 54, 22, ''
15906667, 7934, 150, 64, 64, 91, 65, ''
15906668, 362, 0, 1, 3, 1, 0, ''
15906671, 736, 0, 8, 15, 9, 3, ''
15906673, 3878, 7, 19, 80, 6, 2, ''
15906676, 209, 11, 1, 15, 2, 8, ''
15906677, 233, 1, 3, 1, 2, 0, ''
15906679, 59, 0, 0, 2, 0, 1, ''
15906670, 526, 0, 1, 15, 4, 11, ''
15906682, 4009, 8, 18, 35, 28, 21, ''
15906680, 8, 0, 0, 0, 0, 0, ''
15906681, 83, 0, 0, 0, 0, 1, ''
15906683, 40, 0, 0, 0, 0, 3, ''
15906686, 436, 1, 5, 13, 7, 9, ''
15906689, 97, 0, 0, 2, 0, 1, ''
